,ConvertedCompYearly,C++,HTML/CSS,JavaScript,Objective-C,PHP,Swift,Python,Assembly,C,R,Rust,TypeScript,Bash/Shell,SQL,C#,Java,Node.js,PowerShell,Ruby,Perl,Matlab,Kotlin,Julia,Haskell,Delphi,Go,Scala,Dart,VBA,Groovy,Clojure,APL,LISP,F#,Elixir,Erlang,Crystal,COBOL,PostgreSQL,SQLite,Elasticsearch,Redis,MySQL,Microsoft SQL Server,Oracle,MongoDB,MariaDB,DynamoDB,Couchbase,Firebase,Cassandra,IBM DB2,Laravel,Symfony,Angular,Flask,Vue.js,jQuery,Express,React.js,Angular.js,Ruby on Rails,Django,FastAPI,ASP.NET Core ,Spring,Svelte,ASP.NET,Gatsby,Drupal,Heroku,Microsoft Azure,AWS,Google Cloud Platform,DigitalOcean,Oracle Cloud Infrastructure,IBM Cloud or Watson,total_2
Delphi,0.00,0.06,-0.02,-0.02,0.03,0.04,0.00,-0.04,0.05,0.04,0.00,-0.02,-0.03,-0.03,0.02,0.05,0.00,-0.01,0.03,-0.02,0.03,0.00,0.00,0.01,0.00,1.00,0.00,0.01,0.02,0.04,0.00,0.00,0.05,0.02,0.03,0.01,0.01,0.03,0.09,-0.04,0.04,-0.01,-0.02,0.02,0.06,0.05,0.00,0.04,-0.01,0.04,0.01,0.03,0.05,0.03,0.03,0.02,-0.01,-0.01,0.03,-0.01,-0.03,0.03,-0.01,0.00,0.02,0.01,0.00,0.02,0.04,-0.01,0.06,-0.02,0.01,0.00,-0.01,0.00,0.02,0.04,0.05
Go,0.03,0.06,0.00,0.02,0.04,0.02,0.03,0.13,0.06,0.11,-0.01,0.20,0.08,0.16,0.01,-0.09,0.07,0.09,0.01,0.11,0.06,-0.01,0.04,0.00,0.08,0.00,1.00,0.04,0.05,-0.04,0.07,0.01,0.00,0.06,0.03,0.07,0.06,0.04,0.02,0.15,0.08,0.15,0.17,0.07,-0.11,-0.03,0.08,0.08,0.14,0.09,0.03,0.09,0.00,0.02,0.02,-0.02,0.12,0.06,-0.03,0.06,0.07,0.00,0.06,0.05,0.08,-0.08,0.04,0.08,-0.09,0.06,0.02,0.02,0.01,0.16,0.16,0.13,0.02,0.03,0.26
Scala,0.00,0.00,-0.03,-0.02,0.01,-0.04,-0.01,0.07,0.03,0.01,0.05,0.05,0.02,0.06,0.03,-0.06,0.13,0.01,-0.01,0.02,0.01,0.01,0.04,0.03,0.08,0.01,0.04,1.00,0.01,-0.01,0.07,0.07,0.02,0.06,0.02,0.03,0.04,0.00,0.03,0.07,0.02,0.06,0.05,0.05,-0.04,0.03,0.04,-0.01,0.09,0.03,-0.01,0.13,0.03,-0.02,-0.01,0.01,0.03,0.00,-0.02,0.00,0.02,0.00,0.00,0.00,0.03,-0.04,0.06,0.03,-0.04,0.01,0.00,0.00,0.01,0.07,0.05,0.01,0.01,0.03,0.11
Dart,0.00,0.02,0.04,0.05,0.07,0.02,0.10,0.02,0.01,0.04,0.00,0.02,0.06,0.01,0.02,0.03,0.06,0.07,0.00,0.02,-0.01,0.01,0.10,0.02,0.02,0.02,0.05,0.01,1.00,0.00,0.00,0.01,0.03,0.01,0.02,0.02,0.01,0.02,0.01,0.02,0.06,0.01,0.03,0.02,0.00,-0.01,0.06,0.02,0.02,0.03,0.20,0.01,0.00,0.05,0.05,0.05,0.01,0.04,0.02,0.06,0.03,0.02,0.02,0.03,0.03,0.03,0.01,0.06,0.01,0.03,0.02,0.06,0.02,0.01,0.08,0.05,0.01,0.02,0.15
VBA,-0.02,0.02,0.04,0.00,0.01,0.05,-0.01,0.02,0.04,0.02,0.06,-0.03,-0.03,-0.01,0.11,0.15,0.00,-0.02,0.17,-0.04,0.03,0.04,-0.03,0.01,0.00,0.04,-0.04,-0.01,0.00,1.00,-0.01,-0.02,0.03,0.03,0.06,-0.02,0.00,0.04,0.08,-0.05,0.05,-0.03,-0.04,0.04,0.20,0.09,0.00,0.01,-0.02,0.02,0.01,0.01,0.09,0.01,0.02,0.02,-0.01,-0.01,0.08,-0.02,-0.06,0.03,-0.04,0.01,0.01,0.10,-0.01,0.00,0.16,-0.01,0.04,-0.02,0.07,-0.07,0.00,-0.03,0.03,0.01,0.11
Groovy,0.00,0.01,0.00,0.01,0.01,-0.02,0.01,0.06,0.02,0.02,0.00,0.00,0.03,0.11,0.03,-0.04,0.22,0.06,0.04,0.02,0.03,0.00,0.12,-0.01,0.02,0.00,0.07,0.07,0.00,-0.01,1.00,0.01,0.03,0.01,0.01,0.00,0.02,0.00,0.04,0.05,0.03,0.09,0.06,0.03,0.00,0.05,0.04,0.01,0.08,0.04,0.00,0.09,0.04,-0.02,0.00,0.03,0.04,-0.02,0.01,0.01,0.02,0.04,-0.01,0.00,0.02,-0.04,0.21,0.01,-0.04,0.01,0.01,-0.01,0.00,0.07,0.02,-0.02,0.03,0.02,0.15
Clojure,0.01,-0.04,-0.05,-0.04,0.01,-0.02,-0.01,-0.02,-0.01,-0.02,0.00,0.03,-0.02,0.04,-0.02,-0.09,0.04,-0.02,-0.04,0.02,0.00,-0.01,0.01,0.03,0.06,0.00,0.01,0.07,0.01,-0.02,0.01,1.00,0.06,0.20,0.06,0.04,0.07,0.01,0.01,0.10,0.01,0.06,0.02,-0.03,-0.07,0.00,0.00,0.00,0.06,0.02,-0.01,0.07,0.00,0.00,0.00,-0.04,0.00,-0.03,-0.05,-0.03,0.09,-0.02,0.00,0.00,0.00,-0.06,0.01,0.02,-0.06,0.00,-0.01,0.03,-0.05,0.09,0.02,0.04,0.03,0.01,0.03
APL,0.01,0.01,-0.02,-0.01,0.04,0.00,0.03,0.02,0.04,0.03,0.04,0.02,0.00,0.01,0.00,-0.01,0.01,-0.01,0.00,0.03,0.03,0.03,0.02,0.07,0.10,0.05,0.00,0.02,0.03,0.03,0.03,0.06,1.00,0.13,0.07,0.04,0.05,0.06,0.08,0.00,0.01,0.02,0.02,-0.01,0.00,0.01,0.04,0.03,0.02,0.04,0.02,0.07,0.05,0.02,0.04,0.01,0.01,0.01,0.01,0.01,0.00,0.02,0.02,0.03,0.04,0.00,0.01,0.04,0.00,0.02,0.04,0.00,0.01,0.01,0.02,0.02,0.05,0.05,0.07
LISP,0.00,0.04,0.00,-0.01,0.03,-0.01,0.02,0.05,0.09,0.09,0.06,0.07,0.00,0.08,0.00,-0.03,0.04,0.02,0.00,0.05,0.07,0.03,0.02,0.07,0.13,0.02,0.06,0.06,0.01,0.03,0.01,0.20,0.13,1.00,0.07,0.06,0.08,0.02,0.04,0.05,0.05,0.01,0.02,0.00,-0.03,0.01,0.02,0.04,0.01,0.02,0.00,0.03,0.00,0.00,0.00,-0.02,0.05,-0.01,0.00,0.02,0.02,0.00,0.02,0.03,0.01,-0.02,0.00,0.04,-0.03,0.00,0.00,0.03,0.00,0.01,0.02,0.05,0.04,0.03,0.11
F#,0.00,0.03,0.01,0.02,0.02,-0.01,0.02,0.01,0.04,0.02,0.02,0.05,0.05,0.01,0.03,0.13,0.00,0.02,0.08,0.00,0.02,0.02,0.01,0.06,0.07,0.03,0.03,0.02,0.02,0.06,0.01,0.06,0.07,0.07,1.00,0.05,0.06,0.03,0.07,0.04,0.06,0.03,0.01,0.00,0.08,0.01,0.01,0.01,0.00,0.03,0.01,0.05,0.02,-0.01,0.01,0.05,0.00,0.02,0.01,0.02,0.04,0.05,-0.01,0.02,0.01,0.14,-0.01,0.05,0.07,0.01,0.01,0.00,0.09,0.00,0.02,0.02,0.02,0.02,0.13
Elixir,-0.01,-0.02,0.01,0.04,0.03,0.00,0.05,-0.01,0.03,0.01,-0.01,0.09,0.02,0.03,0.01,-0.06,-0.03,0.03,-0.03,0.15,0.02,-0.01,0.03,0.04,0.06,0.01,0.07,0.03,0.02,-0.02,0.00,0.04,0.04,0.06,0.05,1.00,0.47,0.08,0.02,0.16,0.02,0.06,0.10,0.01,-0.05,-0.02,0.01,0.05,0.01,0.04,0.01,0.04,0.00,0.03,0.01,-0.02,0.02,0.03,-0.02,0.04,0.07,0.00,0.15,0.01,0.01,-0.04,-0.01,0.07,-0.04,0.02,0.01,0.09,-0.01,0.08,0.06,0.11,0.02,0.02,0.13
Erlang,0.01,0.02,0.01,0.02,0.03,0.01,0.03,0.00,0.07,0.05,0.02,0.07,-0.01,0.03,0.00,-0.02,0.00,0.02,0.00,0.10,0.03,0.01,0.04,0.06,0.08,0.01,0.06,0.04,0.01,0.00,0.02,0.07,0.05,0.08,0.06,0.47,1.00,0.06,0.05,0.10,0.04,0.04,0.06,0.02,-0.02,0.00,0.03,0.04,0.02,0.05,0.01,0.08,0.01,0.01,0.04,0.00,0.02,0.03,0.00,0.04,0.04,0.01,0.07,0.02,0.01,-0.02,-0.01,0.07,-0.01,0.02,0.02,0.07,0.00,0.04,0.05,0.06,0.05,0.04,0.13
Crystal,0.00,0.01,0.03,0.02,0.02,0.02,0.03,-0.02,0.03,0.02,0.02,0.04,0.01,0.03,0.03,0.01,-0.01,0.01,0.01,0.11,0.01,0.02,0.01,0.02,0.01,0.03,0.04,0.00,0.02,0.04,0.00,0.01,0.06,0.02,0.03,0.08,0.06,1.00,0.07,0.04,0.03,0.03,0.05,0.02,0.02,0.03,0.01,0.02,0.02,0.06,0.01,0.00,0.03,0.03,0.04,0.01,0.00,0.01,0.02,0.00,0.01,0.02,0.11,0.01,0.03,0.02,-0.01,0.05,0.03,0.02,0.03,0.06,0.00,0.03,0.05,0.07,0.05,0.03,0.10
COBOL,0.00,0.06,0.03,0.03,0.04,0.04,0.04,0.00,0.11,0.06,0.06,0.01,0.01,0.02,0.03,0.05,0.06,0.01,0.05,0.00,0.08,0.04,0.03,0.03,0.04,0.09,0.02,0.03,0.01,0.08,0.04,0.01,0.08,0.04,0.07,0.02,0.05,0.07,1.00,0.01,0.06,0.03,0.01,0.04,0.04,0.07,0.05,0.05,0.02,0.12,0.03,0.06,0.17,0.04,0.04,0.03,0.04,0.02,0.04,0.03,0.02,0.05,0.02,0.03,0.03,0.03,0.05,0.04,0.05,0.01,0.07,0.01,0.04,0.01,0.03,0.02,0.07,0.06,0.15
PostgreSQL,0.00,-0.06,0.08,0.14,0.01,0.01,0.02,0.13,-0.01,-0.02,0.03,0.10,0.10,0.14,0.13,-0.16,0.06,0.15,-0.06,0.28,0.03,-0.03,0.04,0.00,0.06,-0.04,0.15,0.07,0.02,-0.05,0.05,0.10,0.00,0.05,0.04,0.16,0.10,0.04,0.01,1.00,0.14,0.17,0.31,0.07,-0.12,-0.02,0.10,0.06,0.14,0.01,0.03,0.06,-0.01,0.02,0.02,0.01,0.18,0.08,-0.01,0.14,0.22,0.02,0.29,0.20,0.12,-0.11,0.08,0.07,-0.13,0.08,0.01,0.26,-0.05,0.32,0.16,0.16,0.01,0.02,0.37
SQLite,0.00,0.10,0.08,0.07,0.11,0.11,0.11,0.14,0.08,0.12,0.06,0.08,0.02,0.12,0.13,0.03,0.06,0.07,0.07,0.06,0.09,0.03,0.10,0.03,0.08,0.04,0.08,0.02,0.06,0.05,0.03,0.01,0.01,0.05,0.06,0.02,0.04,0.03,0.06,0.14,1.00,0.06,0.13,0.18,0.04,0.06,0.07,0.16,0.02,0.06,0.05,0.03,0.03,0.09,0.07,0.02,0.16,0.08,0.10,0.05,0.04,0.03,0.05,0.16,0.06,0.03,-0.01,0.03,0.02,0.02,0.05,0.09,0.07,0.06,0.10,0.14,0.04,0.04,0.35
Elasticsearch,0.01,-0.06,0.05,0.10,0.01,0.05,0.01,0.08,-0.02,-0.02,0.00,0.04,0.10,0.11,0.08,-0.04,0.08,0.11,0.04,0.14,0.05,-0.02,0.05,-0.01,0.02,-0.01,0.15,0.06,0.01,-0.03,0.09,0.06,0.02,0.01,0.03,0.06,0.04,0.03,0.03,0.17,0.06,1.00,0.30,0.11,0.00,0.03,0.14,0.10,0.22,0.07,0.03,0.11,0.00,0.04,0.07,0.04,0.11,0.08,0.04,0.08,0.11,0.06,0.12,0.07,0.06,-0.01,0.10,0.05,-0.01,0.03,0.06,0.06,0.02,0.23,0.12,0.08,0.02,0.04,0.32
Redis,0.01,-0.05,0.10,0.15,0.02,0.09,0.02,0.05,-0.02,-0.02,-0.03,0.07,0.14,0.11,0.12,-0.05,0.03,0.16,0.01,0.26,0.02,-0.03,0.04,-0.01,0.03,-0.02,0.17,0.05,0.03,-0.04,0.06,0.02,0.02,0.02,0.01,0.10,0.06,0.05,0.01,0.31,0.13,0.30,1.00,0.14,-0.05,-0.04,0.16,0.13,0.17,0.04,0.04,0.08,-0.02,0.12,0.07,0.03,0.13,0.13,0.08,0.17,0.17,0.07,0.27,0.13,0.08,0.01,0.07,0.05,-0.02,0.06,0.03,0.17,0.03,0.25,0.14,0.18,0.00,0.04,0.40
MySQL,0.00,-0.01,0.18,0.18,0.05,0.39,0.03,0.06,0.03,0.02,0.04,-0.02,0.05,0.09,0.22,-0.03,0.11,0.16,0.02,0.09,0.08,0.00,0.05,-0.02,0.00,0.02,0.07,0.05,0.02,0.04,0.03,-0.03,-0.01,0.00,0.00,0.01,0.02,0.02,0.04,0.07,0.18,0.11,0.14,1.00,0.00,0.08,0.13,0.29,0.07,0.05,0.08,0.04,0.03,0.23,0.14,0.06,0.07,0.12,0.20,0.13,0.11,0.09,0.09,0.09,0.02,-0.02,0.08,0.05,-0.01,0.05,0.16,0.08,0.01,0.19,0.13,0.14,0.04,0.03,0.40
Microsoft SQL Server,-0.01,-0.09,0.13,0.10,-0.02,0.00,-0.03,-0.13,-0.04,-0.09,0.02,-0.11,0.08,-0.10,0.34,0.56,-0.05,-0.01,0.34,-0.13,-0.02,-0.02,-0.06,-0.04,-0.03,0.06,-0.11,-0.04,0.00,0.20,0.00,-0.07,0.00,-0.03,0.08,-0.05,-0.02,0.02,0.04,-0.12,0.04,0.00,-0.05,0.00,1.00,0.12,0.00,-0.01,-0.05,0.03,-0.02,0.00,0.10,-0.01,0.00,0.18,-0.06,0.02,0.20,-0.04,-0.07,0.13,-0.12,-0.05,-0.04,0.53,-0.03,-0.01,0.53,-0.04,0.02,-0.09,0.40,-0.12,-0.06,-0.07,-0.01,0.01,0.22
Oracle,0.00,-0.02,0.04,0.03,0.02,0.02,-0.01,0.00,0.03,0.01,0.06,-0.04,-0.02,0.04,0.15,0.05,0.18,-0.01,0.08,-0.05,0.09,0.02,0.01,-0.01,0.00,0.05,-0.03,0.03,-0.01,0.09,0.05,0.00,0.01,0.01,0.01,-0.02,0.00,0.03,0.07,-0.02,0.06,0.03,-0.04,0.08,0.12,1.00,0.03,0.06,0.01,0.04,-0.03,0.06,0.11,0.00,0.01,0.08,0.01,-0.01,0.09,-0.03,-0.05,0.07,-0.05,0.02,0.00,0.04,0.19,0.01,0.07,-0.02,0.05,-0.03,0.06,-0.01,-0.02,-0.02,0.17,0.03,0.15
MongoDB,-0.01,0.01,0.10,0.15,0.05,0.06,0.06,0.06,0.03,0.01,0.01,0.03,0.16,0.06,0.02,0.01,0.09,0.24,0.04,0.03,0.01,0.03,0.05,0.00,0.03,0.00,0.08,0.04,0.06,0.00,0.04,0.00,0.04,0.02,0.01,0.01,0.03,0.01,0.05,0.10,0.07,0.14,0.16,0.13,0.00,0.03,1.00,0.09,0.11,0.07,0.15,0.05,0.03,0.05,0.03,0.13,0.12,0.12,0.07,0.29,0.18,0.12,0.03,0.06,0.07,0.02,0.08,0.06,0.00,0.08,0.05,0.17,0.07,0.13,0.14,0.12,0.02,0.04,0.36
MariaDB,0.00,0.03,0.10,0.10,0.04,0.34,0.01,0.07,0.05,0.07,0.02,0.04,0.02,0.13,0.13,-0.05,0.05,0.10,0.03,0.05,0.13,0.01,0.01,0.00,0.05,0.04,0.08,-0.01,0.02,0.01,0.01,0.00,0.03,0.04,0.01,0.05,0.04,0.02,0.05,0.06,0.16,0.10,0.13,0.29,-0.01,0.06,0.09,1.00,0.04,0.07,0.04,0.08,0.03,0.22,0.21,0.02,0.08,0.12,0.15,0.07,0.02,0.03,0.04,0.10,0.04,-0.04,0.05,0.06,-0.04,0.05,0.20,0.05,0.01,0.10,0.08,0.15,0.05,0.04,0.31
DynamoDB,0.02,-0.04,0.01,0.08,0.02,0.01,0.03,0.08,-0.01,-0.03,-0.02,0.02,0.13,0.08,0.02,-0.05,0.13,0.16,0.00,0.06,0.00,-0.02,0.09,0.00,0.01,-0.01,0.14,0.09,0.02,-0.02,0.08,0.06,0.02,0.01,0.00,0.01,0.02,0.02,0.02,0.14,0.02,0.22,0.17,0.07,-0.05,0.01,0.11,0.04,1.00,0.05,0.06,0.08,0.00,0.02,0.02,0.03,0.08,0.04,0.00,0.13,0.13,0.04,0.03,0.04,0.08,-0.03,0.12,0.05,-0.05,0.07,0.03,0.03,-0.04,0.33,0.07,0.03,0.03,0.02,0.26
Couchbase,0.01,0.01,0.01,0.03,0.03,0.02,0.04,0.01,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.05,0.05,0.01,0.02,0.04,0.03,0.03,0.03,0.03,0.04,0.09,0.03,0.03,0.02,0.04,0.02,0.04,0.02,0.03,0.04,0.05,0.06,0.12,0.01,0.06,0.07,0.04,0.05,0.03,0.04,0.07,0.07,0.05,1.00,0.03,0.09,0.04,0.03,0.02,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.01,0.02,0.05,0.03,0.04,0.05,0.04,0.02,0.06,0.02,0.04,0.04,0.07,0.05,0.06,0.06,0.15
Firebase,0.00,-0.01,0.11,0.14,0.10,0.05,0.19,0.00,0.01,0.01,0.00,0.01,0.16,-0.01,0.00,0.01,0.06,0.18,0.00,0.03,-0.01,0.02,0.11,0.00,0.01,0.01,0.03,-0.01,0.20,0.01,0.00,-0.01,0.02,0.00,0.01,0.01,0.01,0.01,0.03,0.03,0.05,0.03,0.04,0.08,-0.02,-0.03,0.15,0.04,0.06,0.03,1.00,-0.01,-0.01,0.04,0.01,0.13,0.04,0.11,0.06,0.18,0.15,0.09,0.03,0.04,0.00,0.01,0.02,0.06,0.01,0.11,0.04,0.14,0.03,0.05,0.28,0.07,0.02,0.04,0.26
Cassandra,0.00,0.01,-0.01,0.00,0.02,0.01,0.01,0.03,0.02,0.03,0.02,0.05,0.00,0.05,0.01,-0.02,0.11,0.02,0.00,0.01,0.04,-0.01,0.04,0.02,0.03,0.03,0.09,0.13,0.01,0.01,0.09,0.07,0.07,0.03,0.05,0.04,0.08,0.00,0.06,0.06,0.03,0.11,0.08,0.04,0.00,0.06,0.05,0.08,0.08,0.09,-0.01,1.00,0.03,0.01,0.02,0.02,0.06,0.00,0.01,0.02,0.02,0.03,0.02,0.02,0.05,-0.03,0.12,0.02,-0.02,0.01,0.03,0.01,0.03,0.05,0.06,0.03,0.03,0.03,0.15
