,ConvertedCompYearly,C++,HTML/CSS,JavaScript,PHP,Swift,Python,C,Rust,TypeScript,Bash/Shell,SQL,C#,Java,Node.js,PowerShell,Kotlin,Julia,Delphi,Go,Scala,Dart,Groovy,Clojure,Elixir,COBOL,PostgreSQL,Redis,Microsoft SQL Server,DynamoDB,Flask,jQuery,Express,React.js,Angular.js,Ruby on Rails,Django,Microsoft Azure,AWS,Google Cloud Platform
ConvertedCompYearly,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.00,0.00,0.00,0.00,0.85,0.00,0.00,0.43,0.01,0.00,0.00,0.29,0.00,0.00,0.00,0.27,0.00,0.00,0.00,0.00,0.02,0.00,0.91,0.02,0.04,0.00,0.26,0.04,0.00,0.00
C++,0.01,0.00,0.00,0.00,0.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.33,0.00,0.00,0.00,0.31,0.22,0.60,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.88,0.00,0.06,0.00,0.00,0.23
HTML/CSS,0.00,0.00,0.00,0.00,0.00,0.69,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.81,0.00,0.00,0.01,0.00,0.05,0.80,0.01,0.00,0.94,0.00,0.76,0.02,0.00,0.00,0.00,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
JavaScript,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.31,0.00,0.01,0.02,0.13,0.00,0.22,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
PHP,0.00,0.75,0.00,0.00,0.00,0.00,0.88,0.19,0.02,0.00,0.00,0.00,0.21,0.61,0.00,0.00,0.86,0.23,0.01,0.10,0.00,0.10,0.08,0.01,0.59,0.04,0.46,0.00,0.38,0.17,0.33,0.00,0.00,0.00,0.00,0.03,0.01,0.33,0.00,0.00
Swift,0.00,0.00,0.69,0.06,0.00,0.00,0.97,0.00,0.08,0.00,0.97,0.00,0.09,0.00,0.00,0.02,0.00,0.93,0.51,0.06,0.18,0.00,0.29,0.12,0.00,0.00,0.10,0.03,0.00,0.00,0.85,0.95,0.00,0.00,0.22,0.16,0.25,0.68,0.00,0.00
Python,0.00,0.00,0.00,0.00,0.88,0.97,0.00,0.00,0.00,0.00,0.00,0.35,0.00,0.00,0.04,0.10,0.03,0.00,0.01,0.00,0.00,0.09,0.00,0.04,0.38,0.72,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.03,0.00,0.00,0.00,0.00,0.00,0.00
C,0.04,0.00,0.00,0.00,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.01,0.04,0.04,0.00,0.00,0.00,0.70,0.00,0.12,0.02,0.74,0.00,0.01,0.01,0.00,0.00,0.00,0.05,0.12,0.00,0.07,0.00,0.00,0.00,0.00,0.05
Rust,0.00,0.00,0.04,0.18,0.02,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.25,0.00,0.00,0.06,0.00,0.00,0.06,0.90,0.03,0.00,0.54,0.00,0.00,0.00,0.05,0.00,0.00,0.01,0.01,0.17,0.44,0.04,0.00,0.00,0.00
TypeScript,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.00,0.10,0.00,0.04,0.02,0.19,0.99,0.00,0.00,0.00,0.00,0.38,0.00,0.00,0.00,0.00,0.15,0.73,0.00,0.00,0.00
Bash/Shell,0.00,0.00,0.00,0.00,0.00,0.97,0.00,0.00,0.00,0.78,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.01,0.01,0.00,0.00,0.27,0.00,0.04,0.17,0.21,0.00,0.00,0.00,0.00,0.00,0.42,0.00,0.01,0.52,0.00,0.00,0.05,0.00,0.00
SQL,0.00,0.00,0.00,0.00,0.00,0.00,0.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.14,0.26,0.01,0.31,0.01,0.01,0.91,0.03,0.00,0.00,0.00,0.02,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00
C#,0.00,0.00,0.00,0.00,0.21,0.09,0.00,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.42,0.00,0.00,0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Java,0.00,0.00,0.81,0.00,0.61,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.52,0.00,0.60,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.38,0.00,0.00,0.00
Node.js,0.85,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.00,0.00,0.00,0.00,0.42,0.00,0.00,0.00,0.00,0.01,0.24,0.00,0.34,0.00,0.00,0.02,0.02,0.46,0.00,0.00,0.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
PowerShell,0.00,0.01,0.00,0.00,0.00,0.02,0.10,0.04,0.25,0.00,0.00,0.00,0.00,0.52,0.00,0.00,0.04,0.10,0.01,0.70,0.18,0.65,0.01,0.00,0.00,0.00,0.00,0.37,0.00,0.77,0.37,0.00,0.46,0.00,0.00,0.00,0.37,0.00,0.00,0.00
Kotlin,0.00,0.33,0.01,0.31,0.86,0.00,0.03,0.04,0.00,0.00,0.12,0.16,0.00,0.00,0.00,0.04,0.00,0.83,0.66,0.00,0.00,0.00,0.00,0.77,0.14,0.62,0.00,0.00,0.00,0.00,0.87,0.00,0.00,0.00,0.50,0.10,0.23,0.61,0.00,0.00
Julia,0.43,0.00,0.00,0.00,0.23,0.93,0.00,0.00,0.00,0.02,0.01,0.00,0.01,0.60,0.01,0.10,0.83,0.00,0.35,0.69,0.01,0.36,0.25,0.98,0.49,0.52,0.91,0.38,0.00,0.44,0.95,0.00,0.05,0.05,0.02,0.06,0.90,0.10,0.71,0.02
Delphi,0.01,0.00,0.05,0.01,0.01,0.51,0.01,0.00,0.06,0.03,0.01,0.14,0.00,0.50,0.24,0.01,0.66,0.35,0.00,0.48,0.34,0.26,0.66,0.30,0.72,0.00,0.00,0.03,0.00,0.07,0.27,0.03,0.31,0.02,0.03,0.11,0.52,0.68,0.38,0.07
Go,0.00,0.00,0.80,0.02,0.10,0.06,0.00,0.00,0.00,0.00,0.00,0.26,0.00,0.00,0.00,0.70,0.00,0.69,0.48,0.00,0.00,0.00,0.00,0.79,0.00,0.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,0.00,0.00,0.92,0.00,0.00
Scala,0.00,0.31,0.01,0.13,0.00,0.18,0.00,0.70,0.00,0.10,0.00,0.01,0.00,0.00,0.34,0.18,0.00,0.01,0.34,0.00,0.00,0.96,0.00,0.00,0.16,0.08,0.00,0.00,0.00,0.00,0.02,0.05,0.71,0.24,0.24,0.60,0.98,0.37,0.00,0.00
Dart,0.29,0.22,0.00,0.00,0.10,0.00,0.09,0.00,0.06,0.00,0.27,0.31,0.01,0.00,0.00,0.65,0.00,0.36,0.26,0.00,0.96,0.00,0.48,0.82,0.23,0.38,0.07,0.00,0.94,0.22,0.60,0.11,0.00,0.00,0.44,0.14,0.33,0.11,0.04,0.00
Groovy,0.00,0.60,0.94,0.22,0.08,0.29,0.00,0.12,0.90,0.04,0.00,0.01,0.00,0.00,0.00,0.01,0.00,0.25,0.66,0.00,0.00,0.48,0.00,0.97,0.43,0.01,0.00,0.00,0.51,0.00,0.01,0.37,0.29,0.49,0.01,0.22,0.92,0.34,0.00,0.03
Clojure,0.00,0.00,0.00,0.00,0.01,0.12,0.04,0.02,0.03,0.02,0.04,0.01,0.00,0.00,0.02,0.00,0.77,0.98,0.30,0.79,0.00,0.82,0.97,0.00,0.07,0.26,0.00,0.22,0.00,0.00,0.54,0.00,0.01,0.00,0.01,0.77,0.58,0.00,0.00,0.08
Elixir,0.00,0.01,0.76,0.00,0.59,0.00,0.38,0.74,0.00,0.19,0.17,0.91,0.00,0.00,0.02,0.00,0.14,0.49,0.72,0.00,0.16,0.23,0.43,0.07,0.00,0.86,0.00,0.00,0.00,0.48,0.08,0.00,0.01,0.00,0.07,0.00,0.60,0.18,0.00,0.00
COBOL,0.27,0.00,0.02,0.02,0.04,0.00,0.72,0.00,0.54,0.99,0.21,0.03,0.00,0.00,0.46,0.00,0.62,0.52,0.00,0.24,0.08,0.38,0.01,0.26,0.86,0.00,0.43,0.55,0.00,0.37,0.00,0.00,0.12,0.03,0.00,0.25,0.07,0.00,0.58,0.00
PostgreSQL,0.00,0.00,0.00,0.00,0.46,0.10,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.91,0.00,0.00,0.00,0.07,0.00,0.00,0.00,0.43,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00
Redis,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.13,0.00,0.37,0.00,0.38,0.03,0.00,0.00,0.00,0.00,0.22,0.00,0.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.00
Microsoft SQL Server,0.00,0.00,0.00,0.00,0.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.28,0.00,0.00,0.00,0.00,0.00,0.00,0.94,0.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
DynamoDB,0.00,0.00,0.15,0.00,0.17,0.00,0.00,0.00,0.05,0.00,0.00,0.02,0.00,0.00,0.00,0.77,0.00,0.44,0.07,0.00,0.00,0.22,0.00,0.00,0.48,0.37,0.00,0.00,0.00,0.00,0.00,0.92,0.00,0.00,0.01,0.02,0.00,0.00,0.00,0.00
Flask,0.02,0.00,0.00,0.01,0.33,0.85,0.00,0.00,0.00,0.38,0.00,0.00,0.00,0.10,0.00,0.37,0.87,0.95,0.27,0.00,0.02,0.60,0.01,0.54,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.35,0.00,0.00,0.31,0.81,0.00,0.42,0.00,0.00
jQuery,0.00,0.00,0.00,0.00,0.00,0.95,0.00,0.05,0.00,0.00,0.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.05,0.11,0.37,0.00,0.00,0.00,0.30,0.00,0.00,0.92,0.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00
Express,0.91,0.00,0.00,0.00,0.00,0.00,0.05,0.12,0.01,0.00,0.00,0.01,0.00,0.00,0.00,0.46,0.00,0.05,0.31,0.00,0.71,0.00,0.29,0.01,0.01,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00
React.js,0.02,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.02,0.00,0.24,0.00,0.49,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.23,0.00,0.00
Angular.js,0.04,0.88,0.00,0.00,0.00,0.22,0.00,0.07,0.17,0.00,0.52,0.00,0.00,0.00,0.00,0.00,0.50,0.02,0.03,0.78,0.24,0.44,0.01,0.01,0.07,0.00,0.50,0.00,0.00,0.01,0.31,0.00,0.00,0.00,0.00,0.02,0.10,0.00,0.00,0.00
Ruby on Rails,0.00,0.00,0.00,0.00,0.03,0.16,0.00,0.00,0.44,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.06,0.11,0.00,0.60,0.14,0.22,0.77,0.00,0.25,0.00,0.00,0.00,0.02,0.81,0.00,0.00,0.00,0.02,0.00,0.06,0.00,0.00,0.00
Django,0.26,0.06,0.00,0.00,0.01,0.25,0.00,0.00,0.04,0.73,0.00,0.00,0.00,0.38,0.00,0.37,0.23,0.90,0.52,0.00,0.98,0.33,0.92,0.58,0.60,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.06,0.00,0.24,0.00,0.00
Microsoft Azure,0.04,0.00,0.00,0.00,0.33,0.68,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.61,0.10,0.68,0.92,0.37,0.11,0.34,0.00,0.18,0.00,0.00,0.09,0.00,0.00,0.42,0.00,0.01,0.23,0.00,0.00,0.24,0.00,0.00,0.00
AWS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.71,0.38,0.00,0.00,0.04,0.00,0.00,0.00,0.58,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Google Cloud Platform,0.00,0.23,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.07,0.00,0.00,0.00,0.03,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
